shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
82.55,-104.66,95.78,78.46,98.59,7.37
82.55,-104.66,95.78,78.46,98.59,7.37
82.55,-104.66,95.78,78.46,98.59,7.37
82.55,-104.66,95.78,78.46,98.59,7.37
82.46,-104.66,95.78,78.37,98.59,7.37
82.46,-104.66,95.78,78.37,98.59,7.37
82.46,-104.66,95.78,78.37,98.59,7.37
82.46,-104.66,95.78,78.37,98.59,7.37
82.46,-104.66,95.78,78.37,98.59,7.37
82.46,-104.57,95.78,78.37,98.59,7.37
82.46,-104.40,95.78,78.37,98.77,7.37
82.20,-104.22,95.43,78.37,98.86,7.37
82.11,-103.78,94.81,78.11,98.86,7.37
82.11,-102.29,92.79,77.93,98.95,7.37
82.11,-98.95,89.36,78.20,98.95,7.37
82.11,-93.67,85.05,78.29,98.95,7.37
82.11,-86.81,79.43,78.29,98.95,7.37
82.11,-78.99,72.66,78.29,98.95,7.37
82.11,-70.64,65.63,78.29,98.95,7.37
82.20,-62.64,58.24,78.29,98.95,7.37
82.37,-54.64,50.51,78.29,98.95,7.37
82.37,-46.99,42.86,78.29,98.95,7.37
82.46,-39.87,35.82,78.29,98.95,7.37
82.46,-33.01,29.23,78.29,98.95,7.43
82.46,-26.68,23.52,78.29,98.95,7.55
82.55,-20.88,18.42,78.29,98.95,7.55
82.55,-15.34,13.58,78.29,98.95,7.55
82.64,-10.07,9.10,78.29,98.95,7.55
82.73,-4.97,4.79,78.29,98.95,7.55
83.60,-0.13,1.10,78.37,98.95,7.55
85.01,4.26,-1.89,78.46,99.03,7.55
85.80,8.04,-4.09,78.46,99.03,7.62
85.98,10.86,-5.23,78.46,99.03,7.62
85.98,12.70,-5.49,78.55,99.03,7.62
85.98,13.67,-5.41,78.55,99.03,7.55
85.98,13.76,-5.32,78.55,99.03,7.43
86.15,13.41,-5.32,78.55,99.03,7.43
86.51,13.41,-5.32,78.46,99.03,7.43
86.95,13.85,-5.23,78.46,99.03,7.43
87.03,13.93,-5.23,78.46,99.03,7.43
87.12,13.93,-5.23,78.46,99.03,7.43
87.12,13.85,-5.23,78.46,99.03,7.43
87.12,13.85,-5.23,78.46,99.03,7.43
87.12,13.85,-5.23,78.46,99.03,7.43
87.12,13.85,-5.23,78.46,99.03,7.43
87.12,13.58,-5.32,78.37,99.03,7.43
87.12,13.41,-5.32,78.37,98.86,7.49
87.03,13.41,-5.41,78.37,98.77,7.55
87.03,13.41,-5.41,78.37,98.77,7.74
86.95,13.41,-5.41,78.37,98.59,7.86
86.95,13.41,-5.41,78.46,98.59,7.99
86.95,13.41,-5.41,78.55,98.59,9.16
86.95,13.32,-5.41,78.55,98.51,12.20
87.03,13.32,-5.32,78.55,98.51,16.78
87.12,13.32,-5.32,78.55,98.51,22.04
87.21,13.32,-5.32,78.55,98.51,26.69
87.30,13.32,-5.32,78.55,98.51,29.85
87.30,13.41,-5.23,78.55,98.51,30.65
87.30,13.67,-5.23,78.55,98.51,30.65
87.30,13.76,-5.23,78.46,98.51,30.65
87.38,13.85,-5.23,78.37,98.51,30.65
87.82,14.02,-5.23,78.29,98.51,30.65
89.41,14.20,-5.23,78.20,98.51,30.65
90.81,14.99,-5.14,78.29,98.51,30.65
91.16,16.57,-5.14,78.29,98.51,30.65
91.16,18.33,-5.23,78.29,98.51,30.65
91.16,20.26,-5.32,77.85,98.51,30.65
91.34,21.93,-5.32,77.93,98.51,30.65
91.34,22.29,-5.49,78.11,98.51,30.65
91.43,22.37,-5.58,78.20,98.51,30.65
91.43,22.37,-5.49,78.02,98.51,30.65
91.43,22.37,-5.58,77.93,98.51,30.65
91.52,22.37,-5.67,77.85,98.51,30.65
91.52,22.37,-5.67,77.85,98.68,30.65
91.52,22.37,-5.58,77.93,98.68,30.65
91.34,22.37,-5.49,77.93,98.59,30.65
91.16,22.73,-5.41,77.93,98.59,30.71
91.16,22.81,-5.58,77.93,98.59,30.71
91.16,22.81,-5.67,77.85,98.59,30.71
91.16,22.81,-5.67,77.85,98.59,30.71
91.16,22.73,-5.67,78.02,98.59,30.71
91.16,22.73,-5.67,78.02,98.59,30.71
91.16,22.64,-5.67,78.11,98.59,30.71
91.16,22.81,-5.67,77.93,98.59,30.71
91.16,22.81,-5.67,77.93,98.68,30.71
91.16,22.81,-5.67,77.93,98.68,30.71
91.16,22.81,-5.58,78.02,98.68,30.71
91.16,22.81,-5.49,78.02,98.68,30.71
91.16,22.81,-5.49,78.11,98.68,30.71
91.16,22.81,-5.49,78.20,98.68,30.71
91.16,22.81,-5.49,78.20,98.68,30.71
91.16,22.81,-5.49,78.11,98.68,30.71
91.16,22.81,-5.58,77.93,98.68,30.71
91.25,22.81,-5.58,77.93,98.68,30.71
91.34,22.81,-5.67,77.93,98.86,30.65
91.34,22.81,-5.67,77.93,98.86,30.59
91.34,22.81,-5.67,77.85,98.86,30.09
91.34,22.81,-5.76,77.85,98.86,27.80
91.34,22.81,-5.76,77.85,98.95,23.72
91.16,22.81,-5.76,77.85,99.03,18.39
91.08,22.90,-5.76,77.85,99.03,12.45
91.08,22.90,-5.76,77.85,99.03,6.32
91.08,22.90,-5.76,77.85,99.03,1.67
91.08,22.90,-5.76,77.85,99.03,0.99
91.08,22.90,-5.76,77.85,99.03,1.80
91.08,22.90,-5.76,77.85,99.03,2.23
91.08,22.90,-5.76,77.85,99.03,2.29
91.08,22.90,-5.76,77.85,98.95,2.29
91.08,22.90,-5.76,77.85,98.86,2.29
91.08,22.90,-5.76,77.85,98.68,2.29
91.16,22.46,-5.76,77.85,98.59,2.35
91.25,22.37,-5.76,78.29,98.59,2.35
91.34,22.11,-5.76,78.37,98.51,2.35
91.34,20.88,-5.93,78.46,98.51,2.35
91.16,17.63,-5.93,78.37,98.51,2.35
91.16,13.49,-5.93,78.46,98.51,2.35
91.16,8.92,-5.85,78.46,98.51,2.35
91.16,3.65,-5.85,78.46,98.51,2.35
91.25,-1.89,-5.67,78.46,98.51,2.41
91.25,-7.60,-5.58,78.46,98.51,2.41
91.16,-13.49,-5.49,78.46,98.51,2.41
91.16,-19.47,-5.41,78.46,98.51,2.41
91.16,-24.75,-5.41,78.46,98.51,2.41
91.25,-29.76,-5.41,78.46,98.51,2.41
91.25,-35.03,-5.32,78.46,98.51,2.41
91.25,-40.48,-5.23,78.46,98.51,2.41
91.16,-45.85,-5.14,78.46,98.51,2.41
91.16,-50.95,-5.14,78.46,98.51,2.41
91.16,-56.22,-5.14,78.46,98.51,2.41
91.08,-60.79,-5.14,78.46,98.51,2.41
91.08,-65.27,-5.14,78.46,98.51,2.41
91.08,-69.58,-5.14,78.46,98.51,2.41
91.08,-73.19,-5.14,78.46,98.51,2.41
91.08,-76.00,-4.26,78.64,98.51,2.41
91.08,-78.29,-1.01,78.64,98.51,2.41
90.99,-80.22,3.38,78.55,98.51,2.41
90.99,-82.95,7.16,78.37,98.51,2.41
90.99,-85.93,10.24,78.37,98.51,2.41
90.99,-88.40,12.26,78.37,98.51,2.41
90.99,-90.42,13.67,78.46,98.51,2.41
90.99,-91.56,14.81,78.46,98.51,2.41
90.99,-91.65,14.99,78.55,98.51,2.41
90.99,-91.74,14.99,78.64,98.51,2.41
90.99,-91.74,14.99,78.64,98.51,2.41
90.99,-91.74,14.99,78.46,98.59,2.41
91.08,-91.65,14.81,78.46,98.59,2.41
91.08,-91.65,14.81,78.46,98.59,2.41
91.08,-91.82,14.81,78.46,98.59,2.41
90.99,-91.82,14.81,78.46,98.59,2.41
90.99,-91.82,14.81,78.46,98.59,2.41
90.99,-91.91,14.90,78.46,98.59,2.41
90.99,-92.00,14.90,78.46,98.59,2.41
90.99,-92.09,14.90,78.46,98.59,2.41
90.99,-92.09,14.99,78.46,98.59,2.41
90.99,-92.09,15.08,78.46,98.59,2.41
90.99,-92.00,15.08,78.46,98.59,2.41
90.99,-91.82,15.08,78.46,98.59,2.41
90.99,-92.09,15.08,78.46,98.59,2.41
90.90,-92.09,15.08,78.46,98.59,2.41
90.55,-92.18,15.08,78.46,98.59,2.41
88.97,-92.18,14.99,78.46,98.59,2.41
86.33,-92.00,15.08,78.46,98.59,2.41
82.90,-91.65,15.08,78.46,98.59,2.41
78.51,-91.65,15.16,78.46,98.59,2.41
73.85,-91.65,15.16,78.46,98.59,2.41
68.84,-91.65,15.16,78.46,98.59,2.41
63.47,-91.65,15.25,78.46,98.59,2.41
57.93,-91.65,15.25,78.46,98.59,2.41
52.40,-91.74,15.25,78.46,98.59,2.41
47.38,-91.65,15.25,78.46,98.59,2.41
42.46,-92.00,15.25,78.46,98.59,2.41
37.27,-92.18,15.25,78.46,98.59,2.41
31.56,-92.18,15.25,78.46,98.59,2.41
25.23,-92.18,15.25,78.46,98.59,2.41
18.37,-91.91,15.16,78.46,98.59,2.41
11.43,-91.65,15.16,78.46,98.59,2.41
4.40,-91.65,15.16,78.46,98.59,2.41
-2.73,-91.91,15.08,78.46,98.59,2.41
-9.93,-92.09,15.08,78.46,98.59,2.41
-15.91,-92.09,15.08,78.46,98.59,2.41
-20.48,-91.74,15.16,78.46,98.59,2.41
-23.12,-91.65,15.16,78.46,98.59,2.41
-23.56,-91.65,15.25,78.46,98.59,2.41
-23.56,-91.91,15.25,78.46,98.59,2.41
-23.56,-92.00,15.25,78.46,98.59,2.41
-23.56,-92.00,15.25,78.46,98.59,2.41
-23.65,-92.09,15.25,78.46,98.59,2.41
-24.00,-91.65,14.99,78.46,98.59,2.41
-24.00,-91.38,14.55,78.46,98.59,2.41
-24.00,-90.68,14.37,78.46,98.59,2.41
-24.00,-88.84,14.37,78.46,98.59,2.41
-24.00,-85.58,14.29,78.46,98.59,2.41
-24.00,-81.63,13.93,78.46,98.59,2.41
-24.00,-77.76,12.44,78.46,98.59,2.41
-23.91,-73.71,9.98,78.46,98.59,2.41
-23.91,-68.00,6.02,78.46,98.59,2.41
-23.91,-62.20,1.89,78.46,98.59,2.41
-23.91,-56.22,-3.12,78.46,98.59,2.41
-23.91,-50.68,-8.48,78.46,98.59,2.41
-23.91,-45.49,-14.37,78.46,98.59,2.41
-24.00,-40.40,-20.09,78.46,98.59,2.41
-24.00,-35.65,-25.36,78.46,98.59,2.41
-24.00,-31.25,-30.29,78.46,98.59,2.41
-24.00,-27.47,-34.42,78.46,98.59,2.41
-24.00,-24.04,-37.85,78.46,98.59,2.41
