shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
85.98,-106.68,95.78,78.81,91.12,5.82
85.98,-106.77,95.78,78.81,91.12,5.82
85.98,-106.86,95.78,78.81,91.12,5.82
85.98,-106.95,95.78,78.81,91.21,5.82
85.98,-106.95,95.78,78.81,91.21,5.82
85.98,-106.95,95.78,78.81,91.21,5.82
85.98,-106.86,95.78,78.81,91.21,5.82
85.98,-106.59,95.78,78.81,91.21,5.82
86.07,-105.98,95.16,78.81,91.21,5.82
86.07,-103.87,92.97,78.20,91.21,5.82
86.07,-99.47,87.60,78.64,91.21,5.82
86.07,-92.44,81.01,78.73,91.21,5.82
86.07,-83.38,73.27,78.73,91.21,5.82
86.07,-73.71,64.75,78.73,91.21,5.82
86.07,-64.48,55.60,78.73,91.21,5.82
85.98,-55.34,45.85,78.73,91.21,5.82
85.98,-47.60,37.58,78.73,91.21,5.82
85.98,-40.66,30.20,78.73,91.21,5.82
85.98,-33.98,24.22,78.73,91.21,5.82
86.07,-28.00,19.56,78.73,91.21,5.82
86.07,-23.08,16.66,78.73,91.21,5.82
86.15,-19.12,15.60,78.73,91.21,5.82
86.15,-16.57,15.52,78.64,91.21,5.82
86.15,-15.08,15.52,78.64,91.21,5.82
86.15,-14.73,15.60,78.64,91.21,5.82
86.07,-14.73,15.60,78.64,91.21,5.82
86.07,-14.73,15.60,78.37,91.21,5.82
85.80,-14.64,15.43,78.29,91.21,5.82
85.71,-14.73,15.34,78.37,91.21,5.82
85.45,-14.73,15.16,78.55,91.21,5.94
83.87,-14.81,14.99,78.20,91.21,6.07
79.74,-14.90,14.99,78.20,91.21,6.07
73.85,-14.90,14.99,78.20,91.21,6.07
66.64,-14.90,15.08,78.20,90.95,6.07
59.96,-14.90,15.08,78.20,90.86,6.07
54.07,-14.90,15.08,78.20,90.86,6.07
48.09,-14.90,15.08,78.20,90.86,6.07
41.49,-14.90,14.99,78.20,90.86,6.07
34.64,-14.90,14.99,78.20,90.86,6.07
28.48,-14.99,14.99,78.20,90.86,6.07
22.95,-14.99,14.99,78.37,90.77,6.07
17.85,-14.99,15.08,78.55,90.77,6.07
13.10,-14.99,15.08,78.55,90.77,6.07
8.26,-14.99,15.08,78.64,90.77,6.07
2.90,-14.99,14.99,78.55,90.77,6.07
-3.08,-15.08,14.99,78.29,90.77,6.07
-9.85,-15.08,14.99,78.20,90.77,6.07
-16.62,-15.08,14.99,78.37,90.77,6.07
-23.12,-15.08,14.99,78.64,90.77,6.07
