shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-98.46,7.16,14.64,69.41,71.08,1.49
-98.37,7.16,14.64,69.41,71.08,0.37
-98.37,7.16,14.73,69.41,71.08,2.91
-98.37,7.16,14.73,69.41,71.08,4.77
-98.37,7.16,14.73,69.41,71.08,4.89
-98.37,7.16,14.73,69.41,71.08,4.89
-98.37,7.16,14.73,69.41,71.16,4.89
-98.37,7.16,14.73,69.41,71.16,4.83
-98.37,7.16,14.73,69.41,71.16,4.83
-98.37,7.16,14.73,69.41,71.16,4.83
-98.37,7.16,14.73,69.41,71.16,4.83
-98.37,7.16,14.73,69.41,71.16,4.83
-98.37,7.16,14.73,69.67,71.16,4.83
-98.46,6.99,14.73,69.76,71.25,4.83
-98.55,6.55,14.73,69.85,71.25,4.83
-98.64,6.55,14.73,69.85,71.25,4.83
-98.64,6.02,14.37,70.02,71.25,4.83
-98.46,3.82,13.49,70.02,71.25,4.83
-98.46,0.48,12.09,70.20,71.25,4.83
-98.55,-3.38,11.21,70.20,71.25,4.83
-98.46,-8.40,10.51,70.20,71.34,4.83
-98.29,-13.93,10.15,70.20,71.34,4.83
-98.20,-19.65,10.15,70.20,71.34,4.83
-98.20,-25.10,10.15,70.20,71.34,4.83
-98.11,-30.37,10.24,70.20,71.34,4.83
-98.11,-35.91,10.33,70.20,71.34,4.83
-98.20,-41.54,10.51,70.29,71.34,4.83
-98.29,-46.55,10.77,71.78,71.34,4.83
-98.29,-51.56,11.03,74.51,71.34,4.83
-98.29,-57.27,11.03,77.93,71.34,4.83
-98.29,-62.90,11.12,81.19,71.34,4.83
-98.29,-68.00,11.12,84.18,71.34,4.83
-98.29,-72.75,11.12,86.37,71.34,4.83
-98.29,-77.14,11.12,87.87,71.25,4.83
-98.29,-80.92,11.12,88.48,71.25,4.83
-98.29,-84.18,11.12,88.75,71.25,4.83
-98.29,-86.99,11.12,88.75,71.25,4.83
-98.29,-88.92,11.12,88.75,71.25,4.89
-98.29,-90.42,11.12,88.75,71.16,4.89
-98.29,-91.47,11.12,88.75,71.16,4.89
-98.29,-91.91,11.12,88.75,71.16,4.95
-98.37,-91.91,11.12,88.48,71.16,4.95
-98.46,-92.00,11.03,88.31,71.16,4.95
-98.46,-92.00,11.03,88.31,71.16,5.02
-98.37,-92.00,11.03,88.31,71.16,5.02
-98.37,-92.00,11.03,88.22,70.99,4.95
-98.37,-92.18,10.95,88.40,70.99,4.95
-98.29,-92.97,10.95,88.31,71.08,4.95
-98.29,-94.02,10.95,88.22,71.08,4.95
-98.29,-94.90,11.03,88.22,71.08,4.95
-98.29,-95.34,11.12,88.22,71.08,4.95
-98.29,-95.25,11.12,88.22,71.08,4.95
-98.29,-95.08,11.12,88.22,71.08,4.95
-98.29,-95.34,11.12,88.22,71.08,4.95
-98.20,-95.43,11.12,88.31,71.08,4.95
-98.20,-95.43,11.12,88.31,71.08,4.89
-98.20,-95.43,11.12,88.22,71.08,4.89
-98.11,-95.43,11.12,88.22,71.08,4.89
-97.93,-95.25,11.12,88.22,71.08,4.89
-96.62,-94.99,11.12,88.22,71.08,4.89
-92.66,-94.99,11.12,88.22,71.08,4.89
-86.68,-94.90,11.12,88.22,70.99,4.89
-79.30,-94.73,11.12,88.22,70.90,4.89
-70.95,-94.73,11.21,88.22,70.81,4.89
-61.89,-94.73,11.21,88.40,70.81,4.89
-52.84,-94.81,11.12,88.57,70.81,4.89
-44.13,-94.81,11.12,88.57,70.81,4.89
-36.22,-94.81,11.12,88.57,70.81,4.89
-29.63,-94.81,11.12,88.66,70.81,4.95
-24.26,-94.81,11.12,88.66,70.90,5.02
-19.87,-94.73,11.12,88.66,70.90,5.08
-16.44,-94.73,11.12,88.66,70.90,5.14
-13.80,-94.73,11.03,88.66,70.90,5.14
-11.78,-94.81,11.03,88.66,70.90,5.14
-10.46,-95.16,11.03,88.66,70.90,5.14
-10.11,-95.34,11.03,88.66,70.90,5.14
-10.11,-95.16,10.86,88.66,70.90,5.14
-10.37,-94.55,10.59,88.75,70.90,5.14
-10.37,-92.97,10.33,88.75,70.90,5.14
-10.46,-88.66,10.33,88.75,70.90,5.14
-10.46,-81.45,9.89,88.75,70.90,5.14
-10.55,-72.92,8.04,88.75,70.90,5.14
-10.55,-64.04,3.56,88.75,70.90,5.20
-10.55,-54.99,-3.74,88.75,70.90,5.20
-10.64,-45.67,-13.32,88.75,70.90,5.20
-10.64,-36.09,-24.04,88.75,70.90,5.20
-10.64,-25.54,-35.03,88.75,70.90,5.20
-10.64,-14.81,-45.76,88.75,70.90,5.20
-10.64,-4.35,-55.60,88.75,70.90,5.20
-11.16,5.49,-64.92,88.75,70.90,5.20
-12.84,14.37,-72.84,88.75,70.90,5.20
-15.21,22.64,-79.60,88.75,70.90,5.20
-17.85,30.37,-84.70,88.48,70.90,5.20
-20.66,37.23,-88.31,88.31,70.90,5.20
-23.47,43.38,-90.42,88.22,70.90,5.20
-25.14,48.48,-91.82,88.22,70.90,5.20
-25.49,52.62,-92.44,88.22,70.90,5.20
-25.49,55.25,-92.79,88.22,70.90,5.20
-25.49,56.75,-92.79,88.22,70.90,5.20
-25.49,57.01,-92.79,88.22,70.90,5.20
-25.49,57.01,-92.79,88.22,70.90,5.20
-25.58,57.01,-92.70,88.22,70.90,5.20
-25.67,57.01,-92.70,88.22,70.90,5.20
-25.67,57.10,-92.70,88.22,70.90,5.20
-25.58,57.36,-92.70,88.22,70.90,5.20
-25.49,57.45,-92.70,88.22,70.90,5.20
-25.23,57.19,-92.44,88.04,70.73,5.20
-24.26,57.10,-92.35,88.13,70.73,5.20
-23.74,57.45,-92.53,88.04,70.73,5.20
-23.65,57.71,-92.62,87.96,70.73,5.20
-23.56,57.71,-92.53,86.90,70.73,5.20
-23.56,57.80,-92.44,84.70,70.73,5.20
-23.56,57.80,-92.35,81.80,70.73,5.20
-23.56,57.98,-92.18,78.37,70.90,5.20
-23.65,58.59,-92.00,75.03,70.99,5.20
-23.56,61.58,-92.00,72.40,70.99,5.20
-23.47,65.54,-92.09,70.37,70.90,5.20
-23.38,69.76,-92.35,68.44,70.73,5.20
-23.38,72.84,-92.70,65.54,70.73,5.20
-23.38,75.56,-92.70,61.58,70.73,5.20
-23.47,77.14,-92.70,57.98,70.73,5.20
-23.47,77.76,-92.70,55.87,70.73,5.20
-23.47,77.41,-92.70,55.08,70.73,5.08
-23.47,77.32,-92.70,55.08,70.73,4.95
-23.47,77.32,-92.70,55.16,70.73,4.95
-23.47,77.32,-92.70,55.16,70.73,4.95
-23.47,77.32,-92.53,55.25,70.73,4.95
-23.47,77.14,-92.53,55.34,70.64,4.95
-23.47,77.14,-92.26,56.04,70.64,4.95
-23.47,77.14,-92.18,57.71,70.64,4.95
-23.38,77.14,-92.18,59.82,70.64,4.95
-23.38,77.14,-92.35,61.49,70.64,4.95
-23.38,77.14,-92.53,61.85,70.64,4.95
-23.38,77.14,-92.62,62.02,70.64,4.95
-23.47,77.23,-92.62,62.20,70.64,4.95
-23.65,77.32,-92.53,62.20,70.64,4.95
-23.74,77.32,-92.53,62.20,70.64,4.95
-23.74,77.32,-92.62,62.20,70.64,4.95
-23.74,77.32,-92.62,62.20,70.64,4.95
-23.65,77.32,-92.62,62.20,70.64,4.95
-23.65,77.32,-92.62,62.20,70.64,4.95
-23.65,77.32,-92.62,62.11,70.64,4.95
-23.56,77.32,-92.53,62.11,70.64,4.95
-23.56,77.23,-92.44,62.20,70.64,4.95
-23.56,77.23,-92.35,62.20,70.64,5.20
-23.56,77.23,-92.26,62.20,70.64,5.26
-23.56,77.23,-92.26,62.20,70.64,5.33
-23.56,77.23,-92.26,62.20,70.64,5.39
-23.47,77.23,-92.26,62.29,70.73,5.45
-23.47,77.14,-92.26,62.29,70.90,5.45
-23.47,77.14,-92.26,62.29,70.90,5.57
-23.47,77.14,-92.26,62.29,70.90,6.56
-23.47,77.14,-92.26,62.29,70.99,8.42
-23.38,77.14,-92.26,62.29,70.99,11.15
-23.38,77.14,-92.26,62.29,71.08,14.24
-23.30,77.23,-92.26,62.29,71.08,17.21
-23.30,77.23,-92.26,62.20,71.16,19.57
-23.21,77.23,-92.26,62.20,71.16,20.93
-23.21,77.32,-92.26,62.20,71.16,21.49
-23.12,77.32,-92.26,62.20,71.16,21.49
-23.03,77.41,-92.26,62.20,71.16,21.49
-22.77,77.41,-92.26,62.20,71.16,21.49
-21.89,77.41,-92.35,62.20,71.16,21.55
-21.71,77.41,-92.35,62.20,71.16,21.55
-21.71,77.67,-92.35,62.20,71.16,21.55
-21.71,77.67,-92.35,62.20,71.16,21.55
-21.71,77.67,-92.35,62.20,71.16,21.55
-21.71,77.67,-92.35,62.20,71.16,21.61
-21.71,77.58,-92.35,62.20,71.16,21.61
-21.71,77.49,-92.35,62.20,71.16,21.61
-21.71,77.41,-92.35,62.20,71.25,21.61
-21.71,77.41,-92.35,62.20,71.25,21.61
-21.71,77.58,-92.35,62.20,71.25,21.61
-21.71,77.67,-92.35,62.02,71.25,21.61
-21.71,77.67,-92.53,61.93,71.25,21.61
-21.63,77.67,-92.53,61.76,71.25,21.61
-21.63,77.58,-92.62,61.76,71.25,21.61
-21.63,77.41,-92.62,61.76,71.25,21.61
-21.63,77.32,-92.62,62.11,71.25,21.61
-21.63,77.14,-92.70,62.29,71.25,21.61
-21.71,76.88,-92.79,62.46,71.25,21.61
-21.71,75.56,-92.79,62.64,71.16,21.61
-21.71,71.52,-92.79,65.10,71.16,21.55
-21.71,65.36,-92.70,69.76,71.16,21.42
-21.71,58.24,-92.35,74.86,71.16,21.42
-21.71,52.44,-92.26,79.69,71.16,21.42
-21.71,47.34,-92.26,84.88,71.16,21.42
-21.71,43.12,-92.53,90.51,71.16,21.42
-21.71,39.52,-92.70,95.78,71.25,21.42
-21.71,35.03,-92.79,100.70,71.25,21.42
-21.71,28.97,-92.79,104.22,71.25,21.42
-21.71,22.02,-92.53,105.01,71.25,21.30
-21.98,14.11,-92.18,105.01,71.25,21.24
-21.98,7.43,-91.91,105.01,71.25,21.24
-21.98,1.36,-90.86,105.01,71.25,21.24
-21.80,-3.82,-88.75,105.01,71.25,21.24
-21.71,-9.54,-85.85,105.01,71.25,21.24
-21.71,-17.01,-82.07,105.01,71.25,21.18
-21.71,-24.92,-76.09,105.01,71.25,21.18
-21.71,-32.40,-67.91,105.01,71.25,21.18
-21.71,-40.22,-57.45,105.01,71.25,21.18
-21.63,-48.48,-45.23,105.01,71.25,21.18
-21.63,-56.84,-32.31,105.01,71.25,21.18
-21.63,-65.45,-19.30,105.01,71.25,21.18
-21.54,-73.19,-6.99,104.92,71.25,21.18
-21.54,-80.04,3.65,104.92,71.25,21.18
-21.54,-86.29,13.05,104.92,71.25,21.18
-21.54,-92.09,21.14,104.92,71.25,21.18
-21.54,-97.54,27.12,104.92,71.25,21.18
-21.54,-102.73,30.99,104.92,71.25,21.18
-21.54,-106.51,32.75,104.92,71.25,21.18
-21.54,-108.35,32.84,104.92,71.25,21.11
-21.45,-108.35,32.84,104.92,71.25,20.93
-21.45,-108.18,32.84,104.57,71.25,19.69
-21.45,-108.09,32.84,103.96,71.25,16.47
-21.54,-108.09,32.75,103.43,71.25,11.15
-21.54,-108.09,32.66,102.99,71.25,4.71
-21.54,-108.09,32.66,102.90,71.25,0.56
-21.54,-108.09,32.66,102.90,71.16,1.49
-21.45,-108.09,32.75,102.90,71.16,2.85
-21.45,-108.09,32.57,102.90,71.16,3.34
-21.45,-108.09,32.22,102.90,70.81,3.34
-21.63,-108.09,31.16,102.90,70.81,3.34
-21.63,-108.09,30.11,103.25,70.81,3.59
-21.45,-108.09,29.05,103.08,71.08,3.59
-21.19,-108.09,28.35,103.25,71.16,3.59
-19.34,-108.09,28.00,103.34,71.16,3.65
-15.47,-108.09,27.91,103.34,71.25,3.65
-9.93,-108.09,28.00,103.25,71.25,3.65
-2.99,-108.09,28.09,103.16,71.25,3.65
5.01,-108.09,28.09,103.25,71.25,3.65
13.36,-108.09,27.91,103.34,71.25,3.65
21.89,-108.09,27.91,103.34,71.25,3.65
29.80,-108.09,27.91,103.34,71.25,3.65
37.19,-108.09,27.82,103.34,71.25,3.65
44.92,-108.09,27.91,103.34,71.25,3.65
53.01,-108.09,28.09,103.34,71.16,3.65
61.19,-108.09,28.09,103.16,71.16,3.65
69.54,-108.09,28.44,103.16,71.16,3.65
76.48,-108.09,29.93,103.08,71.16,3.65
81.32,-108.09,33.36,102.99,71.16,3.65
83.08,-108.09,38.55,102.81,71.16,3.65
83.08,-108.09,44.88,102.29,71.16,3.65
83.16,-108.09,51.82,99.82,71.16,3.65
83.16,-108.18,58.95,95.16,71.16,3.65
83.16,-108.18,66.59,89.10,71.16,3.65
83.43,-108.18,75.03,82.42,71.16,3.65
83.60,-108.18,84.18,77.05,71.16,3.65
83.69,-108.18,94.46,72.75,71.16,3.65
84.31,-107.91,101.32,72.48,70.90,3.65
85.45,-108.09,97.54,74.95,70.90,3.65
85.80,-108.09,94.99,78.81,70.73,3.65
85.89,-108.00,95.43,81.27,70.73,3.65
85.89,-108.00,95.60,81.19,70.73,3.65
85.98,-108.00,95.60,81.10,70.73,3.65
85.98,-108.00,95.60,81.10,70.73,3.65
85.98,-108.00,95.60,81.10,70.73,3.65
85.98,-108.00,95.60,81.10,70.73,3.65
85.98,-108.00,95.60,81.10,70.73,3.65
85.98,-108.00,95.60,81.10,70.73,3.65
